ts, day,vehicle_id,trip,lat,lon
2.166666666666664, 1, 1,1, -2.0,-198.78666666666666
2.33333333333333, 1, 1,1, -2.0,-196.02
2.499999999999996, 1, 1,1, -2.0,-193.25333333333333
2.666666666666662, 1, 1,1, -2.0,-190.48666666666665
2.833333333333328, 1, 1,1, -2.0,-187.72
2.9999999999999942, 1, 1,1, -2.0,-184.95333333333332
3.1666666666666603, 1, 1,1, -2.0,-182.18666666666664
3.3333333333333264, 1, 1,1, -2.0,-179.41999999999996
3.4999999999999925, 1, 1,1, -2.0,-176.6533333333333
3.6666666666666585, 1, 1,1, -2.0,-173.88666666666663
3.8333333333333246, 1, 1,1, -2.0,-171.11999999999995
3.9999999999999907, 1, 1,1, -2.0,-168.3533333333333
4.166666666666657, 1, 2,1, 2.0,199.06333333333333
4.166666666666657, 1, 1,1, -2.0,-165.58666666666664
4.333333333333323, 1, 2,1, 2.0,196.29666666666665
4.333333333333323, 1, 1,1, -2.0,-162.82000000000002
4.499999999999989, 1, 2,1, 2.0,193.53
4.499999999999989, 1, 1,1, -2.0,-160.05333333333337
4.666666666666655, 1, 2,1, 2.0,190.76333333333332
4.666666666666655, 1, 1,1, -2.0,-157.28666666666675
4.8333333333333215, 1, 2,1, 2.0,187.99666666666667
4.8333333333333215, 1, 1,1, -2.0,-154.5200000000001
4.999999999999988, 1, 2,1, 2.0,185.23
4.999999999999988, 1, 1,1, -2.0,-151.75333333333347
5.166666666666654, 1, 2,1, 2.0,182.4633333333333
5.166666666666654, 1, 1,1, -2.0,-148.98666666666682
5.33333333333332, 1, 2,1, 2.0,179.69666666666663
5.33333333333332, 1, 1,1, -2.0,-146.2200000000002
5.499999999999986, 1, 2,1, 2.0,176.92999999999998
5.499999999999986, 1, 1,1, -2.0,-143.45333333333355
5.666666666666652, 1, 2,1, 2.0,174.1633333333333
5.666666666666652, 1, 1,1, -2.0,-140.68666666666692
5.833333333333318, 1, 2,1, 2.0,171.39666666666662
5.833333333333318, 1, 1,1, -2.0,-137.92000000000027
5.999999999999984, 1, 2,1, 2.0,168.62999999999994
5.999999999999984, 1, 1,1, -2.0,-135.1533333333336
6.16666666666665, 1, 2,1, 2.0,165.86333333333332
6.16666666666665, 1, 3,1, 2.0,199.34304495099295
6.16666666666665, 1, 1,1, -2.0,-132.38666666666688
6.333333333333316, 1, 2,1, 2.0,163.0966666666667
6.333333333333316, 1, 3,1, 2.0,196.59105893821467
6.333333333333316, 1, 1,1, -2.0,-129.62000000000018
6.499999999999982, 1, 2,1, 2.0,160.33000000000004
6.499999999999982, 1, 3,1, 2.0,193.84591413784932
6.499999999999982, 1, 1,1, -2.0,-126.85333333333347
